line,wavelength_air,label,offset,wavelength_vacuum
Lya,1215.67,Ly$\alpha$,-1,1216.2335763041888
NV,1240.0,NV,1,1240.5548305081402
CIV_1548,1548.0,CIV,-1,1548.462724351764
HeII_1640,1640.4,HeII,1,1641.1107128971062
OIII_1664,1664.0,OIII],1,1664.6599179249229
SiIII_1883,1883.0,SiIII],-1,1883.630200871177
CIII_1907,1906.8,CIII],1,1907.4333499212664
MgII_2798,2798.0,MgII,1,2798.8248214798955
NeV_3346,3346.0,,-1,3346.9619677360693
NeV_3426,3426.0,[NeV],-1,3426.982410436613
OII_3727,3727.0,[OII],-1,3728.059972669708
NeIII_3869,3869.0,[NeIII],1,3870.096857065421
Hdelta,4102.0,H$\delta$,1,4103.157702915531
Hgamma,4341.0,H$\gamma$,-1,4342.220462402833
OIII_4363,4363.0,[OIII],1,4364.226254671347
Hbeta,4861.0,H$\beta$,-1,4862.357932418115
OIII_4959,4959.0,,1,4960.383953318603
OIII_5007,5007.0,[OIII],1,5008.3967093288165
HeI,5876.0,HeI,-1,5877.62866259168
Halpha,6563.0,H$\alpha$,-1,6564.813033769123
SII_6731,6731.0,[SII],-1,6732.858216790305
FeX_6374,6374.51,[FeX],-1,6376.27238138228
HeII_4686,4685.71,HeII,-1,4687.021471292864
NII_6583,6583.46,[NII],1,6585.278534621937
SII_6716,6716.0,[SII],1,6717.854181257385
Paa,18751.0,Pa$\alpha$,1,18756.120187493496
Pab,12818.1,Pa$\beta$,1,12821.606541177514
